rq,case,metric,proposed,best_baseline,baseline_value,outcome
rq1,loao/cicids2017/Z1/seed_13,known_accuracy,0.35604395604395606,ori,0.9032967032967033,loss
rq1,loao/cicids2017/Z1/seed_13,known_macro_f1,0.3210079597143043,ori,0.8980404656533146,loss
rq1,loao/cicids2017/Z1/seed_13,known_weighted_f1,0.3221100833074707,ori,0.8987785510288426,loss
rq1,loao/cicids2017/Z1/seed_13,delta_f1,0.08238326315250102,ori,0.6594157690915113,loss
rq1,loao/cicids2017/Z1/seed_13,unknown_auroc,0.8901098901098901,ori,0.9586813186813187,loss
rq1,loao/cicids2017/Z1/seed_13,fpr95,0.4703296703296703,ori,0.11648351648351649,loss
rq1,loao/cicids2017/Z1/seed_13,aupr_out,0.4528046206841449,renoir_dml,0.5844689119791906,loss
rq1,loao/cicids2017/Z1/seed_13,oscr,0.33645909645909644,ori,0.8762637362637362,loss
rq1,loao/cicids2017/Z1/seed_13,open_world_macro_f1,0.3075035279204507,ori,0.8068496333711753,loss
rq1,loao/cicids2017/Z1/seed_13,unknown_f1,0.3684210526315789,renoir_dml,0.43478260869565216,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,unknown_auroc,0.5612,cd_zd_srl,0.541775,win
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,fpr95,0.985,closr,0.92,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,aupr_out,0.22839525750045256,closr,0.23219877985044718,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,oscr,0.0,renoir_dml,0.097275,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,open_world_macro_f1,0.015909090909090907,cd_zd_srl,0.06992202286319933,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,unknown_auroc,0.4512213333333333,closr,0.7306879999999999,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,fpr95,0.9626666666666667,closr,0.832,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,aupr_out,0.23246503405515417,closr,0.48120385573702396,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,oscr,0.004992,cd_zd_srl,0.23067733333333335,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,open_world_macro_f1,0.013751115309924946,foss,0.1483919347234112,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,unknown_auroc,0.8489898732888912,efc,0.911760215765101,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,fpr95,0.2975929978118162,efc,0.16849015317286653,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,aupr_out,0.2968338257225651,efc,0.4443574199802245,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,oscr,0.3686835275558496,efc,0.737061727138568,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,open_world_macro_f1,0.29575755813374527,foss,0.7641433846297442,loss
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,unknown_auroc,0.9253968253968254,cd_zd_srl,0.882954822954823,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,fpr95,0.3230769230769231,closr,0.27912087912087913,loss
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,aupr_out,0.6424677979188019,cd_zd_srl,0.5925916811558667,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,oscr,0.4418070818070819,foss,0.7521855921855921,loss
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,open_world_macro_f1,0.42304749572857453,foss,0.7583132231405204,loss
rq2,difficulty/openness/cicids2017/O1/seed_13,unknown_auroc,0.9253968253968254,cd_zd_srl,0.882954822954823,win
rq2,difficulty/openness/cicids2017/O1/seed_13,fpr95,0.3230769230769231,closr,0.27912087912087913,loss
rq2,difficulty/openness/cicids2017/O1/seed_13,aupr_out,0.6424677979188019,cd_zd_srl,0.5925916811558667,win
rq2,difficulty/openness/cicids2017/O1/seed_13,oscr,0.4418070818070819,foss,0.7521855921855921,loss
rq2,difficulty/openness/cicids2017/O1/seed_13,open_world_macro_f1,0.42304749572857453,foss,0.7583132231405204,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,aupr_out,0.03075727142700826,efc,0.13057117803580065,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_precision,0.0,ais_nids,0.0,tie
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_recall,0.0,ais_nids,0.0,tie
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_f1,0.0,ais_nids,0.0,tie
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_5_fpr,0.0,ais_nids,0.0,tie
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_1_fpr,0.0,ais_nids,0.0,tie
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_0_1_fpr,0.0,ais_nids,0.0,tie
rq3,prevalence/ciciomt2024/Z1/seed_13,latency_ms_per_flow,0.07453560000431025,closr,0.015369400003692135,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,throughput_fps,13416.407729221632,closr,65064.34862517558,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,parameters,4404.0,efc,0.0,loss
